turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,random,"[5, 3]","[6, 4] -> [5, 5]",Up-Right,"[6, 2] -> [5, 2]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,random,"[-3, -5]","[2, 2] -> [3, 1]",Down-Left,"[2, 4] -> [2, 3]",Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,random,"[5, 3]","[5, 5] -> [4, 5]",Up,"[5, 2] -> [5, 3]",Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,random,"[-6, -1]","[1, 6] -> [2, 6]",Down,"[1, 0] -> [0, 0]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0 -6] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,random,"[1, 6]","[7, 0] -> [6, 0]",Up,"[7, 6] -> [6, 6]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0 -6] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  3  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
6,p2,random,"[-3, -4]","[3, 1] -> [4, 0]",Down-Left,"[0, 4] -> [0, 5]",Right,0,0,[-1  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0 -6] | [ 0  0  0  0  0  0  0] | [-3  0  0  0  0  5  0] | [ 0  0  0  3  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
7,p1,random,"[4, 2]","[8, 4] -> [7, 4]",Up,"[8, 2] -> [8, 1]",Left,0,0,[-1  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0 -6] | [ 0  0  0  0  0  0  0] | [-3  0  0  0  0  5  0] | [ 0  0  0  3  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0] | [ 0  2  0  0  0  0  0]
8,p2,random,"[-3, -1]","[4, 0] -> [3, 0]",Up,"[0, 0] -> [1, 0]",Down,0,0,[ 0  0 -2  0  0 -4  0] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0 -6] | [-3  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  3  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0] | [ 0  2  0  0  0  0  0]
9,p1,random,"[2, 5]","[8, 1] -> [8, 2]",Right,"[4, 5] -> [3, 4]",Up-Left,0,0,[ 0  0 -2  0  0 -4  0] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0 -6] | [-3  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  3  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0] | [ 0  0  2  0  0  0  0]
10,p2,random,"[-1, -3]","[1, 0] -> [2, 1]",Down-Right,"[3, 0] -> [4, 0]",Down,0,0,[ 0  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [ 0 -1  0 -5  0  0 -6] | [ 0  0  0  0  5  0  0] | [-3  0  0  0  0  0  0] | [ 0  0  0  3  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0] | [ 0  0  2  0  0  0  0]
