turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,random,"[1, 6]","[7, 0] -> [8, 0]",Down,"[7, 6] -> [6, 6]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
2,p2,greedy,"[-5, -3]","[2, 4] -> [2, 3]",Left,"[2, 2] -> [3, 1]",Down-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
3,p1,random,"[3, 5]","[6, 2] -> [5, 2]",Up,"[6, 4] -> [5, 4]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
4,p2,greedy,"[-6, -1]","[1, 6] -> [0, 6]",Up,"[1, 0] -> [0, 0]",Up,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
5,p1,random,"[5, 3]","[5, 4] -> [4, 3]",Up-Left,"[5, 2] -> [6, 1]",Down-Left,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
