turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,random,"[3, 2]","[6, 2] -> [5, 2]",Up,"[8, 2] -> [7, 2]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
2,p2,greedy,"[-2, -3]","[0, 2] -> [1, 2]",Down,"[2, 2] -> [3, 2]",Down,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
3,p1,random,"[4, 5]","[8, 4] -> [7, 4]",Up,"[6, 4] -> [5, 5]",Up-Right,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
4,p2,greedy,"[-3, -1]","[3, 2] -> [4, 2]",Down,"[1, 0] -> [0, 0]",Up,0,0,[-1  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  3  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
5,p1,random,"[1, 3]","[7, 0] -> [6, 0]",Up,"[5, 2] -> [4, 1]",Up-Left,0,0,[-1  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3 -3  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
6,p2,greedy,"[-3, -5]","[4, 2] -> [5, 2]",Down,"[2, 4] -> [3, 4]",Down,0,1,[-1  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0 -3  0  0  5  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
7,p1,random,"[4, 2]","[7, 4] -> [8, 3]",Down-Left,"[7, 2] -> [6, 2]",Up,0,1,[-1  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0 -3  0  0  5  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  4  0  0  0]
8,p2,greedy,"[-5, -3]","[3, 4] -> [4, 5]",Down-Right,"[5, 2] -> [6, 1]",Down-Left,0,2,[-1  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0 -5  0] | [ 0  0  0  0  0  5  0] | [ 1 -3  2  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  4  0  0  0]
