turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[3, 5]","[6, 2] -> [5, 1]",Up-Left,"[6, 4] -> [6, 3]",Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,minimax,"[-1, -6]","[1, 0] -> [2, 0]",Down,"[1, 6] -> [2, 6]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,greedy,"[6, 1]","[7, 6] -> [8, 6]",Down,"[7, 0] -> [8, 0]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
4,p2,minimax,"[-4, -3]","[0, 4] -> [0, 5]",Right,"[2, 2] -> [3, 2]",Down,0,0,[ 0  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
